Registration,Aircraft,Owner,Operator,Image Link
4X-CBD,Piper PA-31-325 Navajo C/R,Ofek Aerial Imaging,Ofek Aerial Imaging,https://www.jetphotos.com/photo/9171902
4X-CBE,Piper PA-23-250 Aztec F,LifeAir Aviation,Hetz HaTzafon,https://www.jetphotos.com/photo/9223524
4X-CIN,Piper PA-31T Cheyenne II,Ofek Aerial Imaging,Ofek Aerial Imaging,https://www.jetphotos.com/photo/8243503 
4X-CZL,Cessna 208B Grand Caravan,Ofek Aerial Imaging,Ofek Aerial Imaging,https://www.jetphotos.com/photo/9226769
4X-DAX,Cessna 172,Moonair Aviation,Simplex Mapping,https://www.picuki.com/media/2245852138303321314
